Model,Accuracy,Sensitivity,Specificity,Precision,Recall,F1,Baccuracy
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,0.989473684210526,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,0.98936170212766,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,0.989795918367347,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,0.990196078431373,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,0.989795918367347,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,0.989247311827957,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,0.98989898989899,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,1,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
ada,0.98989898989899,0.999174917491749,0.994142259414226,0.994252873563218,0.999174917491749,0.996707818930041,0.996658588452987
AdaBag,0.978947368421053,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,0.989690721649485,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,1,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,0.98936170212766,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,0.98936170212766,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,0.989795918367347,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,0.990196078431373,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,1,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,0.989130434782609,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,1,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,0.989583333333333,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,0.98936170212766,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,0.989247311827957,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,1,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,1,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,0.989795918367347,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,1,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,1,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,1,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,0.990196078431373,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,1,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,0.98989898989899,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
AdaBag,1,0.998349834983498,0.989121338912134,0.989370400654129,0.998349834983498,0.993839835728953,0.993735586947816
