Accuracy,Model
0.966292134831461,J48
0.936170212765957,J48
0.956043956043956,J48
0.968085106382979,J48
0.956989247311828,J48
0.978021978021978,J48
0.965909090909091,J48
0.978947368421053,J48
0.907216494845361,J48
0.921348314606742,J48
0.966292134831461,JRip
0.946808510638298,JRip
0.956989247311828,JRip
0.978021978021978,JRip
0.956043956043956,JRip
0.968085106382979,JRip
0.957894736842105,JRip
0.927835051546392,JRip
0.932584269662921,JRip
0.965909090909091,JRip
0.978021978021978,LMT
0.920454545454545,LMT
0.978723404255319,LMT
0.989473684210526,LMT
0.948453608247423,LMT
0.966292134831461,LMT
0.946808510638298,LMT
0.935483870967742,LMT
0.956043956043956,LMT
0.910112359550562,LMT
0.965909090909091,OneR
0.967032967032967,OneR
0.978947368421053,OneR
0.925531914893617,OneR
0.955056179775281,OneR
0.958762886597938,OneR
0.913978494623656,OneR
0.936170212765957,OneR
0.97752808988764,OneR
0.912087912087912,OneR
0.921348314606742,PART
0.956043956043956,PART
0.97752808988764,PART
0.978947368421053,PART
0.965909090909091,PART
0.956989247311828,PART
0.978021978021978,PART
0.936170212765957,PART
0.907216494845361,PART
0.968085106382979,PART
0.934065934065934,kernelpls
0.943181818181818,kernelpls
0.925531914893617,kernelpls
0.968421052631579,kernelpls
0.938144329896907,kernelpls
0.97752808988764,kernelpls
0.925531914893617,kernelpls
0.935483870967742,kernelpls
0.934065934065934,kernelpls
0.921348314606742,kernelpls
0.934065934065934,simpls
0.943181818181818,simpls
0.925531914893617,simpls
0.968421052631579,simpls
0.938144329896907,simpls
0.97752808988764,simpls
0.925531914893617,simpls
0.935483870967742,simpls
0.934065934065934,simpls
0.921348314606742,simpls
0.934065934065934,widekernelpls
0.943181818181818,widekernelpls
0.925531914893617,widekernelpls
0.968421052631579,widekernelpls
0.938144329896907,widekernelpls
0.97752808988764,widekernelpls
0.925531914893617,widekernelpls
0.935483870967742,widekernelpls
0.934065934065934,widekernelpls
0.921348314606742,widekernelpls
0.988636363636364,kknn
1,kknn
0.97752808988764,kknn
0.914893617021277,kknn
1,kknn
0.979381443298969,kknn
1,kknn
0.978723404255319,kknn
0.978494623655914,kknn
0.978021978021978,kknn
